index,name,isin,url,keyword,sheet
2,Vanguard LifeStrategy 80% Equity A Acc,GB00B4PQW151,https://www.ii.co.uk/funds/vanguard-lifestrategy-80-equity-a-acc/B4PQW15,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
7,L&G Global Technology Index I Acc,GB00B0CNH163,https://www.ii.co.uk/funds/lg-global-technology-index-i-acc/B0CNH16,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
12,HSBC FTSE All-World Index C Acc,GB00BMJJJF91,https://www.ii.co.uk/funds/hsbc-ftse-all-world-index-c-acc/BMJJJF9,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
17,abrdn Liquidity-Sterling Fund L-2 AccGBP,LU2027372429,https://www.ii.co.uk/funds/abrdn-liquidity-sterling-fund-l-2-accgbp/BK91CX0,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
22,abrdn Emerging Markets Equity Trkr N Acc,GB00BKBD2K10,https://www.ii.co.uk/funds/abrdn-emerging-markets-equity-trkr-n-acc/BKBD2K1,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
27,abrdn UK All Share Tracker N Acc,GB00BDFZ6V38,https://www.ii.co.uk/funds/abrdn-uk-all-share-tracker-n-acc/BDFZ6V3,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
32,abrdn UK Equity Enhanced Index N Acc,GB00BDFZ7214,https://www.ii.co.uk/funds/abrdn-uk-equity-enhanced-index-n-acc/BDFZ721,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
37,abrdn Japan Equity Enhanced Index B Acc,GB00BRJL8317,https://www.ii.co.uk/funds/abrdn-japan-equity-enhanced-index-b-acc/BRJL831,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
42,Jupiter India I Acc,GB00B4TZHH95,https://www.ii.co.uk/funds/jupiter-india-i-acc/B4TZHH9,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
47,Rathbone Global Opportunities Fund I Acc,GB00B7FQLN12,https://www.ii.co.uk/funds/rathbone-global-opportunities-fund-i-acc/B7FQLN1,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
52,L&G Global 100 Index I Acc,GB00B0CNH056,https://www.ii.co.uk/funds/lg-global-100-index-i-acc/B0CNH05,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
57,Vanguard Glb Small-Cp Idx £ Acc,IE00B3X1NT05,https://www.ii.co.uk/funds/vanguard-glb-small-cp-idx-acc/B3X1NT0,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
62,UBS S&P 500 Index C Acc,GB00BMN91T34,https://www.ii.co.uk/funds/ubs-sp-500-index-c-acc/BMN91T3,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
67,iShares Pacific ex Jpn Eq Idx (UK) D Acc,GB00B849FB47,https://www.ii.co.uk/funds/ishares-pacific-ex-jpn-eq-idx-uk-d-acc/B849FB4,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
72,Artemis Income I Acc,GB00B2PLJH12,https://www.ii.co.uk/funds/artemis-income-i-acc/B2PLJH1,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
77,Fidelity Global Special Sits A Acc,GB00B196XG23,https://www.ii.co.uk/funds/fidelity-global-special-sits-a-acc/B196XG2,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
82,BlackRock Gold and General A Acc,GB0005852396,https://www.ii.co.uk/funds/blackrock-gold-and-general-a-acc/0585239,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
87,AXA Framlington Glbl Tech Fund - R Acc,GB0006598998,https://www.ii.co.uk/funds/axa-framlington-glbl-tech-fund-r-acc/0659899,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
92,Vanguard Em Mkts Stk Idx £ Acc,IE00B50MZ724,https://www.ii.co.uk/funds/vanguard-em-mkts-stk-idx-acc/B50MZ72,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
97,Artemis SmartGARP UK Eq I Acc GBP,GB00B2PLJM64,https://www.ii.co.uk/funds/artemis-smartgarp-uk-eq-i-acc-gbp/B2PLJM6,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
102,Fidelity Asia A Acc,GB0003879185,https://www.ii.co.uk/funds/fidelity-asia-a-acc/0387918,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
107,Royal London Sustainable World C Acc,GB00B882H241,https://www.ii.co.uk/funds/royal-london-sustainable-world-c-acc/B882H24,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
112,JPM Emerging Markets B Net Acc,GB00B1YX4S73,https://www.ii.co.uk/funds/jpm-emerging-markets-b-net-acc/B1YX4S7,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
117,iShares Japan Equity Index (UK) H Acc,GB00BJL5BZ80,https://www.ii.co.uk/funds/ishares-japan-equity-index-uk-h-acc/BJL5BZ8,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
122,Man Japan CoreAlpha Profl Acc C,GB00B0119B50,https://www.ii.co.uk/funds/man-japan-corealpha-profl-acc-c/B0119B5,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
127,L&G UK Index R Acc,GB0001036531,https://www.ii.co.uk/funds/lg-uk-index-r-acc/0103653,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
132,Jupiter Strategic Bond I Acc,GB00B4T6SD53,https://www.ii.co.uk/funds/jupiter-strategic-bond-i-acc/B4T6SD5,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
137,Fidelity European Acc,GB0003874798,https://www.ii.co.uk/funds/fidelity-european-acc/0387479,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
142,Royal London Sustainable Leaders C Acc,GB00B7V23Z99,https://www.ii.co.uk/funds/royal-london-sustainable-leaders-c-acc/B7V23Z9,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
147,Artemis SmartGARP Glb EM Eq I Acc GBP,GB00BW9HL132,https://www.ii.co.uk/funds/artemis-smartgarp-glb-em-eq-i-acc-gbp/BW9HL13,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
152,L&G European Index I Acc,GB00B0CNGR59,https://www.ii.co.uk/funds/lg-european-index-i-acc/B0CNGR5,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
157,L&G UK 100 Index R Acc,GB00B0CNH726,https://www.ii.co.uk/funds/lg-uk-100-index-r-acc/B0CNH72,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
162,Dodge & Cox Worldwide Global Stk GBP Acc,IE00B54J6879,https://www.ii.co.uk/funds/dodge-cox-worldwide-global-stk-gbp-acc/B54J687,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
167,abrdn Global Smaller Companies R Acc,GB00B4KHN986,https://www.ii.co.uk/funds/abrdn-global-smaller-companies-r-acc/B4KHN98,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
172,IFSL Marlborough Special Sits P Acc,GB00B907GH23,https://www.ii.co.uk/funds/ifsl-marlborough-special-sits-p-acc/B907GH2,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
177,M&G Global Dividend GBP I Acc,GB00B39R2Q25,https://www.ii.co.uk/funds/mg-global-dividend-gbp-i-acc/B39R2Q2,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
182,Jupiter UK Dynamic Equity J Acc,GB00BJJQ5Y00,https://www.ii.co.uk/funds/jupiter-uk-dynamic-equity-j-acc/BJJQ5Y0,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
187,Royal London Corporate Bond M Acc,GB00B87FJ401,https://www.ii.co.uk/funds/royal-london-corporate-bond-m-acc/B87FJ40,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
192,Rathbone Ethical Bond Fund I Acc,GB00B77DQT14,https://www.ii.co.uk/funds/rathbone-ethical-bond-fund-i-acc/B77DQT1,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
197,FSSA Asia Focus B GBP Acc,GB00BWNGXJ86,https://www.ii.co.uk/funds/fssa-asia-focus-b-gbp-acc/BWNGXJ8,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
202,Fidelity UK Smaller Companies W-Acc,GB00B7VNMB18,https://www.ii.co.uk/funds/fidelity-uk-smaller-companies-w-acc/B7VNMB1,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
207,TM Lansdowne European Spec Sit I Acc GBP,GB00BTJRQ064,https://www.ii.co.uk/funds/tm-lansdowne-european-spec-sit-i-acc-gbp/BTJRQ06,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
212,HSBC Global Strategy Dynamic C Acc,GB00B849DT80,https://www.ii.co.uk/funds/hsbc-global-strategy-dynamic-c-acc/B849DT8,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
217,HSBC Pacific Index Accumulation C,GB00B80QGT40,https://www.ii.co.uk/funds/hsbc-pacific-index-accumulation-c/B80QGT4,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
222,Baillie Gifford L/T Glb Gr Invm B Acc,GB00BD5Z0Z54,https://www.ii.co.uk/funds/baillie-gifford-lt-glb-gr-invm-b-acc/BD5Z0Z5,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
227,Invesco Em Mkts ex China UK Z Acc,GB00B8N44B34,https://www.ii.co.uk/funds/invesco-em-mkts-ex-china-uk-z-acc/B8N44B3,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
232,Baillie Gifford Japanese B Acc,GB0006011133,https://www.ii.co.uk/funds/baillie-gifford-japanese-b-acc/0601113,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
237,Royal London Global Equity Select M Acc,GB00BF93W972,https://www.ii.co.uk/funds/royal-london-global-equity-select-m-acc/BF93W97,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
242,WS Amati UK Listed Smaller Coms B Acc,GB00B2NG4R39,https://www.ii.co.uk/funds/ws-amati-uk-listed-smaller-coms-b-acc/B2NG4R3,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
247,Janus Henderson Global Select I Acc,GB00B68SFJ13,https://www.ii.co.uk/funds/janus-henderson-global-select-i-acc/B68SFJ1,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
252,abrdn UK Smaller Companies I Acc,GB0004333497,https://www.ii.co.uk/funds/abrdn-uk-smaller-companies-i-acc/0433349,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
257,Artemis UK Smaller Companies I Acc,GB00B2PLJL57,https://www.ii.co.uk/funds/artemis-uk-smaller-companies-i-acc/B2PLJL5,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
262,iShares North American Eq Idx (UK) D Acc,GB00B7QK1Y37,https://www.ii.co.uk/funds/ishares-north-american-eq-idx-uk-d-acc/B7QK1Y3,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
267,L&G Global Emerging Markets Index R Acc,GB00B4MBFN60,https://www.ii.co.uk/funds/lg-global-emerging-markets-index-r-acc/B4MBFN6,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
272,BlackRock Continental Euro D Acc,GB00B4VY9893,https://www.ii.co.uk/funds/blackrock-continental-euro-d-acc/B4VY989,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
277,CT Responsible Global Equity 2 Acc,GB0033145045,https://www.ii.co.uk/funds/ct-responsible-global-equity-2-acc/3314504,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
282,AXA Framlington Health Fund Z Acc,GB00B6WZJX05,https://www.ii.co.uk/funds/axa-framlington-health-fund-z-acc/B6WZJX0,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
287,AXA Framlington UK Sel Opps - ZI Acc,GB00B7FD4C20,https://www.ii.co.uk/funds/axa-framlington-uk-sel-opps-zi-acc/B7FD4C2,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
292,Baillie Gifford Japan Small Co B Acc,GB0006014921,https://www.ii.co.uk/funds/baillie-gifford-japan-small-co-b-acc/0601492,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
297,Jupiter UK Mid Cap L GBP Acc,GB00B1XG7999,https://www.ii.co.uk/funds/jupiter-uk-mid-cap-l-gbp-acc/B1XG799,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
302,Guinness Global Equity Income Y GBP Acc,IE00BVYPNY24,https://www.ii.co.uk/funds/guinness-global-equity-income-y-gbp-acc/BVYPNY2,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
307,Schroder Asian Alpha Plus Z Acc,GB00B5BG4980,https://www.ii.co.uk/funds/schroder-asian-alpha-plus-z-acc/B5BG498,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
312,L&G Japan Index R Acc,GB0002050879,https://www.ii.co.uk/funds/lg-japan-index-r-acc/0205087,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
317,Invesco Corporate Bond UK (No Trail) Acc,GB00B1W7HY84,https://www.ii.co.uk/funds/invesco-corporate-bond-uk-no-trail-acc/B1W7HY8,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
322,Vanguard ESG Dev Eurp Idx £ Acc,IE00B76VTL96,https://www.ii.co.uk/funds/vanguard-esg-dev-eurp-idx-acc/B76VTL9,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
327,Vanguard Pac exJpn Stk Idx £ Acc,IE00B523L313,https://www.ii.co.uk/funds/vanguard-pac-exjpn-stk-idx-acc/B523L31,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
332,Guinness Sustainable Energy Y GBP Acc,IE00BFYV9L73,https://www.ii.co.uk/funds/guinness-sustainable-energy-y-gbp-acc/BFYV9L7,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
337,Schroder US Mid Cap Acc,GB0030347271,https://www.ii.co.uk/funds/schroder-us-mid-cap-acc/3034727,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
342,JPM US Select C Net Acc,GB00B2Q5DR06,https://www.ii.co.uk/funds/jpm-us-select-c-net-acc/B2Q5DR0,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
347,JPM Europe Dynamic (ex-UK) C Net Acc,GB00B845HL62,https://www.ii.co.uk/funds/jpm-europe-dynamic-ex-uk-c-net-acc/B845HL6,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
352,JPM Asia Growth C Net Acc,GB00B235GR40,https://www.ii.co.uk/funds/jpm-asia-growth-c-net-acc/B235GR4,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
357,Jupiter Merlin Growth I Acc,GB00B6QGLF53,https://www.ii.co.uk/funds/jupiter-merlin-growth-i-acc/B6QGLF5,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
362,Premier Miton European Opports B Acc,GB00BZ2K2M84,https://www.ii.co.uk/funds/premier-miton-european-opports-b-acc/BZ2K2M8,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
367,Fidelity American A Acc GBP,GB0003865176,https://www.ii.co.uk/funds/fidelity-american-a-acc-gbp/0386517,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
372,Baillie Gifford Global Alpha Gr B Acc,GB00B61DJ021,https://www.ii.co.uk/funds/baillie-gifford-global-alpha-gr-b-acc/B61DJ02,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
