index,name,isin,url,keyword,sheet
4,Vanguard FTSE All-World ETF USD Acc GBP,IE00BK5BQT80,https://www.ii.co.uk/etfs/vanguard-ftse-all-world-etf-usd-acc-gbp/LSE:VWRP,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
9,Vanguard FTSE AllWld HiDivYld ETF $Dis GBP,IE00B8GKDB10,https://www.ii.co.uk/etfs/vanguard-ftse-allwld-hidivyld-etf-dis-gbp/LSE:VHYL,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
14,iShares UK Dividend ETF GBP Dist,IE00B0M63060,https://www.ii.co.uk/etfs/ishares-uk-dividend-etf-gbp-dist/LSE:IUKD,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
19,iShares S&P 500 Info Tech Sect ETF$Acc GBP,IE00B3WJKG14,https://www.ii.co.uk/etfs/ishares-sp-500-info-tech-sect-etfacc-gbp/LSE:IITU,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
24,Vanguard FTSE Dev World ETF USD Acc GBP,IE00BK5BQV03,https://www.ii.co.uk/etfs/vanguard-ftse-dev-world-etf-usd-acc-gbp/LSE:VHVG,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
29,HSBC MSCI World ETF GBP,IE00B4X9L533,https://www.ii.co.uk/etfs/hsbc-msci-world-etf-gbp/LSE:HMWO,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
34,iShares Core S&P 500 ETF USD Dist GBP,IE0031442068,https://www.ii.co.uk/etfs/ishares-core-sp-500-etf-usd-dist-gbp/LSE:IUSA,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
39,iShares Automation&Robotics ETF USD Acc GBP,IE00BYZK4552,https://www.ii.co.uk/etfs/ishares-automationrobotics-etf-usd-acc-gbp/LSE:RBTX,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
44,Vanguard FTSE Dev Eurp ex UK ETF Acc GBP,IE00BK5BQY34,https://www.ii.co.uk/etfs/vanguard-ftse-dev-eurp-ex-uk-etf-acc-gbp/LSE:VERG,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
49,VanEck Gold Miners UCITS ETF GBP,IE00BQQP9F84,https://www.ii.co.uk/etfs/vaneck-gold-miners-ucits-etf-gbp/LSE:GDGB,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
54,iShares Core £ Corp Bond ETF GBP Dist,IE00B00FV011,https://www.ii.co.uk/etfs/ishares-core-corp-bond-etf-gbp-dist/LSE:SLXX,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
59,Invesco S&P 500 ETF GBP,IE00B3YCGJ38,https://www.ii.co.uk/etfs/invesco-sp-500-etf-gbp/LSE:SPXP,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
64,HSBC FTSE 100 ETF,IE00B42TW061,https://www.ii.co.uk/etfs/hsbc-ftse-100-etf/LSE:HUKX,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
69,VanEck Gold Miners UCITS ETF,IE00BQQP9F84,https://www.ii.co.uk/etfs/vaneck-gold-miners-ucits-etf/LSE:GDX,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
74,iShares UK Property ETF GBP Dist,IE00B1TXLS18,https://www.ii.co.uk/etfs/ishares-uk-property-etf-gbp-dist/LSE:IUKP,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
79,iShares Oil & Gas Explr&Prod ETF USD Acc GBP,IE00B6R51Z18,https://www.ii.co.uk/etfs/ishares-oil-gas-explrprod-etf-usd-acc-gbp/LSE:SPOG,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
84,iShares UK Gilts 0-5yr ETF GBP Dist,IE00B4WXJK79,https://www.ii.co.uk/etfs/ishares-uk-gilts-0-5yr-etf-gbp-dist/LSE:IGLS,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
89,Invesco EQQQ NASDAQ-100 ETF (GBP Hdg),IE00BYVTMW98,https://www.ii.co.uk/etfs/invesco-eqqq-nasdaq-100-etf-gbp-hdg/LSE:EQGB,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
94,iShares MSCI Brazil ETF USD Dist GBP,IE00B0M63516,https://www.ii.co.uk/etfs/ishares-msci-brazil-etf-usd-dist-gbp/LSE:IBZL,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
99,iShares S&P 500 GBP Hedged ETF Acc,IE00B3Y8X563,https://www.ii.co.uk/etfs/ishares-sp-500-gbp-hedged-etf-acc/LSE:IGUS,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
104,iShares S&P SmallCap 600 ETF USD Dist GBP,IE00B2QWCY14,https://www.ii.co.uk/etfs/ishares-sp-smallcap-600-etf-usd-dist-gbp/LSE:ISP6,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
109,iShares AI Infrastructure ETF USD Acc GBP,IE000X59ZHE2,https://www.ii.co.uk/etfs/ishares-ai-infrastructure-etf-usd-acc-gbp/LSE:AINF,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
114,Invesco S&P 500 Equal Weight ETF Acc GBP,IE00BNGJJT35,https://www.ii.co.uk/etfs/invesco-sp-500-equal-weight-etf-acc-gbp/LSE:SPEX,"You can hold this ETF in a SIPP, ISA, JISA and Trading Account",ETF
