index,name,isin,url,keyword,sheet
6,JPMorgan Global Growth & Income ,GB00BYMKY695,https://www.ii.co.uk/investment-trusts/jpmorgan-global-growth-income-ord/LSE:JGGI,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
11,Allianz Technology Trust ,GB00BNG2M159,https://www.ii.co.uk/investment-trusts/allianz-technology-trust-ord/LSE:ATT,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
16,Monks ,GB0030517261,https://www.ii.co.uk/investment-trusts/monks-ord/LSE:MNKS,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
21,Personal Assets ,GB00BM8B5H06,https://www.ii.co.uk/investment-trusts/personal-assets-ord/LSE:PNL,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
26,TR Property ,GB0009064097,https://www.ii.co.uk/investment-trusts/tr-property-ord/LSE:TRY,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
31,JPMorgan European Growth & Income ,GB00BPR9Y246,https://www.ii.co.uk/investment-trusts/jpmorgan-european-growth-income-ord/LSE:JEGI,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
36,Dunedin Income Growth ,GB0003406096,https://www.ii.co.uk/investment-trusts/dunedin-income-growth-ord/LSE:DIG,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
41,NextEnergy Solar ,GG00BJ0JVY01,https://www.ii.co.uk/investment-trusts/nextenergy-solar-ord/LSE:NESF,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
46,Henderson Smaller Companies ,GB0009065060,https://www.ii.co.uk/investment-trusts/henderson-smaller-companies-ord/LSE:HSL,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
51,Schroders Capital Global Innov Trust ,GB00BVG1CF25,https://www.ii.co.uk/investment-trusts/schroders-capital-global-innov-trust-ord/LSE:INOV,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
56,Pacific Horizon ,GB0006667470,https://www.ii.co.uk/investment-trusts/pacific-horizon-ord/LSE:PHI,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
61,Foresight Environmental Infra ,GG00BJL5FH87,https://www.ii.co.uk/investment-trusts/foresight-environmental-infra-ord/LSE:FGEN,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
